"line_item","fiscal_year","value"
"Company-operated stores",2016,16844.1
"Company-operated stores",2017,17650.7
"Company-operated stores",2018,19690.3
"Company-operated stores",2019,21544.4
"Company-operated stores",2020,19164.6
"Company-operated stores",2021,29765.9
"Company-operated stores",2022,26576.1
"Company-operated stores",2023,29462.3
"Company-operated stores",2024,29765.9
"Depreciation and amortization expenses",2016,980.8
"Depreciation and amortization expenses",2017,1011.4
"Depreciation and amortization expenses",2018,1247
"Depreciation and amortization expenses",2019,1377.3
"Depreciation and amortization expenses",2020,1431.3
"Depreciation and amortization expenses",2021,1512.6
"Depreciation and amortization expenses",2022,1447.9
"Depreciation and amortization expenses",2023,1362.6
"Depreciation and amortization expenses",2024,1512.6
"General and administrative expenses",2016,1408.9
"General and administrative expenses",2017,1450.7
"General and administrative expenses",2018,1759
"General and administrative expenses",2019,1824.1
"General and administrative expenses",2020,1679.6
"General and administrative expenses",2021,2523.3
"General and administrative expenses",2022,2032
"General and administrative expenses",2023,2441.3
"General and administrative expenses",2024,2523.3
"Income from equity investees",2016,318.2
"Income from equity investees",2017,391.4
"Income from equity investees",2018,301.2
"Income from equity investees",2019,298
"Income from equity investees",2020,322.5
"Income from equity investees",2021,301.2
"Income from equity investees",2022,234.1
"Income from equity investees",2023,298.4
"Income from equity investees",2024,301.2
"Interest income and other, net",2016,102.6
"Interest income and other, net",2017,181.8
"Interest income and other, net",2018,191.4
"Interest income and other, net",2019,96.5
"Interest income and other, net",2020,39.7
"Interest income and other, net",2021,122.8
"Interest income and other, net",2022,97
"Interest income and other, net",2023,81.2
"Interest income and other, net",2024,122.8
"Licensed stores",2016,2154.2
"Licensed stores",2017,2355
"Licensed stores",2018,2652.2
"Licensed stores",2019,2875
"Licensed stores",2020,2327.1
"Licensed stores",2021,4505.1
"Licensed stores",2022,3655.5
"Licensed stores",2023,4512.7
"Licensed stores",2024,4505.1
"Operating income",2016,4171.9
"Operating income",2017,4134.7
"Operating income",2018,3883.3
"Operating income",2019,4077.9
"Operating income",2020,1561.7
"Operating income",2021,5408.8
"Operating income",2022,4617.8
"Operating income",2023,5870.8
"Operating income",2024,5408.8
"Other",2016,2317.6
"Other",2017,2381.1
"Other",2018,2377
"Other",2019,2089.2
"Other",2020,2026.3
"Other",2021,1905.2
"Other",2022,2018.7
"Other",2023,2000.6
"Other",2024,1905.2
"Other operating expenses",2016,499.2
"Other operating expenses",2017,500.3
"Other operating expenses",2018,539.3
"Other operating expenses",2019,371
"Other operating expenses",2020,430.3
"Other operating expenses",2021,565.6
"Other operating expenses",2022,461.5
"Other operating expenses",2023,539.4
"Other operating expenses",2024,565.6
"Store operating expenses",2016,6064.3
"Store operating expenses",2017,6493.3
"Store operating expenses",2018,7193.2
"Store operating expenses",2019,10493.6
"Store operating expenses",2020,10764
"Store operating expenses",2021,15286.5
"Store operating expenses",2022,13561.8
"Store operating expenses",2023,14720.3
"Store operating expenses",2024,15286.5
"Total net revenues",2016,21315.9
"Total net revenues",2017,22386.8
"Total net revenues",2018,24719.5
"Total net revenues",2019,26508.6
"Total net revenues",2020,23518
"Total net revenues",2021,36176.2
"Total net revenues",2022,32250.3
"Total net revenues",2023,35975.6
"Total net revenues",2024,36176.2
"Total operating expenses",2016,17462.2
"Total operating expenses",2017,18643.5
"Total operating expenses",2018,21137.4
"Total operating expenses",2019,22728.7
"Total operating expenses",2020,22278.8
"Total operating expenses",2021,31068.6
"Total operating expenses",2022,27866.6
"Total operating expenses",2023,30494.5
"Total operating expenses",2024,31068.6
