"country","fiscal_year","quarter_num","store_count"
"Canada","FY25","Q3",482
"Canada","FY25","Q2",491
"Canada","FY25","Q1",489
"Canada","FY24","Q4",486
"Canada","FY24","Q3",481
"Canada","FY24","Q2",484
"Canada","FY24","Q1",484
"Canada","FY23","Q4",481
"Canada","FY23","Q3",476
"Canada","FY23","Q2",473
"Canada","FY23","Q1",473
"Canada","FY22","Q4",471
"United States","FY25","Q3",6799
"United States","FY25","Q2",6805
"United States","FY25","Q1",6806
"United States","FY24","Q4",6777
"United States","FY24","Q3",6777
"United States","FY24","Q2",6754
"United States","FY24","Q1",6732
"United States","FY23","Q4",6701
"United States","FY23","Q3",6664
"United States","FY23","Q2",6662
"United States","FY23","Q1",6652
"United States","FY22","Q4",6608
"Total North America","FY25","Q3",7281
"Total North America","FY25","Q2",7296
"Total North America","FY25","Q1",7295
"Total North America","FY24","Q4",7263
"Total North America","FY24","Q3",7258
"Total North America","FY24","Q2",7238
"Total North America","FY24","Q1",7216
"Total North America","FY23","Q4",7182
"Total North America","FY23","Q3",7140
"Total North America","FY23","Q2",7135
"Total North America","FY23","Q1",7125
"Total North America","FY22","Q4",7079
"Andorra","FY25","Q3",3
"Andorra","FY25","Q2",3
"Andorra","FY25","Q1",2
"Andorra","FY24","Q4",2
"Andorra","FY24","Q3",2
"Andorra","FY24","Q2",2
"Andorra","FY24","Q1",2
"Andorra","FY23","Q4",2
"Andorra","FY23","Q3",2
"Andorra","FY23","Q2",2
"Andorra","FY23","Q1",2
"Andorra","FY22","Q4",2
"Argentina","FY25","Q3",134
"Argentina","FY25","Q2",134
"Argentina","FY25","Q1",134
"Argentina","FY24","Q4",132
"Argentina","FY24","Q3",132
"Argentina","FY24","Q2",132
"Argentina","FY24","Q1",133
"Argentina","FY23","Q4",131
"Argentina","FY23","Q3",132
"Argentina","FY23","Q2",131
"Argentina","FY23","Q1",131
"Argentina","FY22","Q4",133
"Aruba","FY25","Q3",5
"Aruba","FY25","Q2",5
"Aruba","FY25","Q1",5
"Aruba","FY24","Q4",5
"Aruba","FY24","Q3",5
"Aruba","FY24","Q2",5
"Aruba","FY24","Q1",5
"Aruba","FY23","Q4",5
"Aruba","FY23","Q3",5
"Aruba","FY23","Q2",5
"Aruba","FY23","Q1",5
"Aruba","FY22","Q4",5
"Australia","FY25","Q3",84
"Australia","FY25","Q2",78
"Australia","FY25","Q1",75
"Australia","FY24","Q4",72
"Australia","FY24","Q3",70
"Australia","FY24","Q2",70
"Australia","FY24","Q1",71
"Australia","FY23","Q4",68
"Australia","FY23","Q3",67
"Australia","FY23","Q2",64
"Australia","FY23","Q1",62
"Australia","FY22","Q4",59
"Austria","FY25","Q3",2
"Austria","FY25","Q2",2
"Austria","FY25","Q1",2
"Austria","FY24","Q4",2
"Austria","FY24","Q3",2
"Austria","FY24","Q2",2
"Austria","FY24","Q1",2
"Austria","FY23","Q4",2
"Austria","FY23","Q3",2
"Austria","FY23","Q2",2
"Austria","FY23","Q1",2
"Austria","FY22","Q4",2
"Azerbaijan","FY25","Q3",8
"Azerbaijan","FY25","Q2",8
"Azerbaijan","FY25","Q1",7
"Azerbaijan","FY24","Q4",7
"Azerbaijan","FY24","Q3",7
"Azerbaijan","FY24","Q2",6
"Azerbaijan","FY24","Q1",6
"Azerbaijan","FY23","Q4",6
"Azerbaijan","FY23","Q3",6
"Azerbaijan","FY23","Q2",6
"Azerbaijan","FY23","Q1",6
"Azerbaijan","FY22","Q4",6
"Bahamas","FY25","Q3",15
"Bahamas","FY25","Q2",15
"Bahamas","FY25","Q1",15
"Bahamas","FY24","Q4",15
"Bahamas","FY24","Q3",14
"Bahamas","FY24","Q2",14
"Bahamas","FY24","Q1",14
"Bahamas","FY23","Q4",14
"Bahamas","FY23","Q3",14
"Bahamas","FY23","Q2",14
"Bahamas","FY23","Q1",14
"Bahamas","FY22","Q4",13
"Bahrain","FY25","Q3",46
"Bahrain","FY25","Q2",48
"Bahrain","FY25","Q1",48
"Bahrain","FY24","Q4",49
"Bahrain","FY24","Q3",50
"Bahrain","FY24","Q2",53
"Bahrain","FY24","Q1",51
"Bahrain","FY23","Q4",50
"Bahrain","FY23","Q3",48
"Bahrain","FY23","Q2",45
"Bahrain","FY23","Q1",45
"Bahrain","FY22","Q4",43
"Barbados","FY25","Q3",6
"Barbados","FY25","Q2",5
"Barbados","FY25","Q1",5
"Barbados","FY24","Q4",5
"Barbados","FY24","Q3",5
"Barbados","FY24","Q2",5
"Barbados","FY24","Q1",3
"Barbados","FY23","Q4",3
"Barbados","FY23","Q3",3
"Barbados","FY23","Q2",3
"Barbados","FY23","Q1",3
"Barbados","FY22","Q4",2
"Belgium","FY25","Q3",33
"Belgium","FY25","Q2",36
"Belgium","FY25","Q1",36
"Belgium","FY24","Q4",36
"Belgium","FY24","Q3",36
